+--------------------------------------------------------------------------------------------+
| Starting Game between BetterLisaSimpson & ConcessionBot 
| 
| BetterLisaSimpson plays P | OboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays P | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays S | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays P | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeBeater plays V | Draw Match
| BetterLisaSimpson plays P | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays P | Draw Match
| BetterLisaSimpson plays V | OboeBeater plays V | Draw Match
| BetterLisaSimpson plays P | OboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays P | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays P | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays L | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays L | OboeBeater wins
| BetterLisaSimpson plays P | OboeBeater plays L | OboeBeater wins
| BetterLisaSimpson plays P | OboeBeater plays L | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays L | OboeBeater wins
| BetterLisaSimpson plays P | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays L | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays P | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays V | Draw Match
| BetterLisaSimpson plays P | OboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays S | OboeBeater wins
| BetterLisaSimpson plays P | OboeBeater plays S | OboeBeater wins
| BetterLisaSimpson plays P | OboeBeater plays P | Draw Match
| BetterLisaSimpson plays V | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays P | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays L | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays V | Draw Match
| BetterLisaSimpson plays P | OboeBeater plays L | OboeBeater wins
| BetterLisaSimpson plays V | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays P | OboeBeater wins
| BetterLisaSimpson plays P | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays P | OboeBeater wins
| 
| Game Time: 00:00:06.1210262
| 
| Result: BetterLisaSimpson vs OboeBeater: 43 - 37
+--------------------------------------------------------------------------------------------+
| Starting Game between BetterLisaSimpson & OboeOboeBeater 
| 
| BetterLisaSimpson plays P | OboeOboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays P | Draw Match
| BetterLisaSimpson plays P | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays P | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays L | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays P | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays V | Draw Match
| BetterLisaSimpson plays P | OboeOboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeOboeBeater plays P | OboeOboeBeater wins
| BetterLisaSimpson plays V | OboeOboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | OboeOboeBeater plays P | Draw Match
| BetterLisaSimpson plays P | OboeOboeBeater plays S | OboeOboeBeater wins
