+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & ToddlerProof 
| 
| ToddlerProof plays P | Markov plays S | Markov wins
| ToddlerProof plays R | Markov plays P | Markov wins
| ToddlerProof plays L | Markov plays L | Draw Match
| ToddlerProof plays V | Markov plays L | Markov wins
| ToddlerProof plays S | Markov plays S | Draw Match
| ToddlerProof plays P | Markov plays L | Markov wins
| ToddlerProof plays R | Markov plays V | Markov wins
| ToddlerProof plays L | Markov plays R | Markov wins
| ToddlerProof plays V | Markov plays P | Markov wins
| ToddlerProof plays S | Markov plays V | Markov wins
| ToddlerProof plays P | Markov plays S | Markov wins
| ToddlerProof plays n | Markov plays V | Markov wins
| ToddlerProof plays n | Markov plays V | Markov wins
| ToddlerProof plays n | Markov plays V | Markov wins
| ToddlerProof plays n | Markov plays P | Markov wins
| ToddlerProof plays n | Markov plays P | Markov wins
| ToddlerProof plays n | Markov plays P | Markov wins
