+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & ToddlerProof 
| 
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| 
| Game Time: 00:00:13.5925097
| 
| Result: ToddlerProof vs SmarterBot: 0 - 100
+--------------------------------------------------------------------------------------------+
| Starting Game between ToddlerProof & Markov 
| 
| ToddlerProof plays V | Markov plays P | Markov wins
| ToddlerProof plays V | Markov plays S | ToddlerProof wins
| ToddlerProof plays V | Markov plays P | Markov wins
| ToddlerProof plays V | Markov plays P | Markov wins
| ToddlerProof plays V | Markov plays V | Draw Match
| ToddlerProof plays V | Markov plays P | Markov wins
| ToddlerProof plays V | Markov plays V | Draw Match
| ToddlerProof plays V | Markov plays L | Markov wins
| ToddlerProof plays V | Markov plays S | ToddlerProof wins
| ToddlerProof plays V | Markov plays V | Draw Match
| ToddlerProof plays V | Markov plays V | Draw Match
| ToddlerProof plays V | Markov plays L | Markov wins
| ToddlerProof plays V | Markov plays L | Markov wins
| ToddlerProof plays V | Markov plays L | Markov wins
| ToddlerProof plays V | Markov plays S | ToddlerProof wins
